dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06065042708,CA00_SUN CITY,06065042708,CA,36,124508,"3,459:1",0,31145,83211,19164,8.04,62.32,14.35,65132,68388,48.78,51.22,5.52,33.6,94.48,66.4,31.35,68.65,26743,1129,8328,524,30611,1769,7.59,25.16,1019.9073,4438,133520,0.4776,0.5015,30,29,29,5,6,2,0,4,27,3,34.6,22.4685,4450.6667,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065043401,CA00_HEMET,06065043401,CA,77,177219,"2,302:1",28.4,42012,112760,31848,7.71,60.42,17.07,90231,96389,48.35,51.65,5.24,38.66,94.76,61.34,32.52,67.48,35285,3386,4971,549,43373,5698,16.52,42.87,306.3159,17421,186620,0.6884,0.729,64,64,83,5,13,8,0,5,51,9,68.8,34.2943,2915.9375,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065042619,CA00_PERRIS,06065042619,CA,17,75009,"4,412:1",0,24315,52746,4516,10.03,64.66,5.54,40888,40689,50.12,49.88,11.21,72.67,88.79,27.33,57.63,42.37,19062,733,2484,280,15794,3058,23.25,51.11,1403.7239,3420,81577,0.2288,0.2266,12,12,8,0,5,3,0,2,8,2,12.1,14.71,6798.0833,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067009611,CA00_ELK GROVE,06067009611,CA,284,324231,"1,142:1",0,84343,227675,29992,8.7,66.57,8.77,166939,175071,48.81,51.19,14.8,23.45,85.2,76.55,61.12,38.88,74473,2671,87903,6122,78666,8517,14.07,32.73,1287.1125,14883,342010,0.4758,0.4691,260,253,290,54,24,18,0,6,155,24,326.3,76.0212,1315.4231,2,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06067008117,CA00_CARMICHAEL,06067008117,CA,233,451924,"1,940:1",0,91248,304381,59358,6.83,66.9,13.05,220981,234006,48.57,51.43,6.2,15.71,93.8,84.29,26.27,73.73,91540,4429,29714,2566,116461,10302,11.95,29.09,1638.8117,3901,454987,0.5127,0.5266,199,186,315,20,34,12,1,21,218,51,213.2,43.7375,2286.3668,1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073012700,CA02_CHULA VISTA,06073012700,CA,104,93186,896:1,0,21809,67534,13032,7.45,65.97,12.73,49373,53002,48.23,51.77,4.13,70.95,95.87,29.05,44.3,55.7,22101,965,6646,525,22836,3195,16.89,43.66,8253.2545,0,102375,0.4526,0.4508,97,93,97,9,7,3,0,4,76,10,105.4,94.7497,1055.4124,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073017200,CA00_DEL MAR,06073017200,CA,9,10534,"1,170:1",0,1430,7111,2205,5.29,66.17,20.52,5338,5408,49.67,50.33,0.52,4.98,99.48,95.02,10.62,89.38,1691,23,643,8,3135,111,4.01,5.92,2830.1493,0,10746,0.21560000000000001,0.2522,8,8,24,0,1,0,0,1,12,2,8,74.4463,1343.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073017303,CA00_SOLANA BEACH,06073017303,CA,12,8518,710:1,0,1289,6013,1224,5.04,70.53,14.36,4287,4239,50.28,49.72,0.4,20.92,99.6,79.08,16.44,83.56,1741,49,267,16,1977,124,9.77,22.82,4068.5589,0,8526,0.179,0.1806,12,12,25,1,0,0,0,0,27,3,14.1,140.746,710.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06075025300,CA02_SAN FRANCISCO,06075025300,CA,202,167906,831:1,0,23011,131201,16752,3.83,76.74,9.8,88868,82096,51.98,48.02,9.78,27.8,90.22,72.2,51.84,48.16,41905,1435,37450,1445,31529,2936,12.19,29.32,16674.8614,0,170964,0.2905,0.2657,184,179,269,20,18,4,2,12,77,6,249.6,107.625,929.1522,2,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06081609800,CA01_REDWOOD CITY,06081609800,CA,173,132470,766:1,0,27736,93267,15725,6.18,68.21,11.5,68036,68692,49.76,50.24,1.9,32.52,98.1,67.48,35.01,64.99,27139,749,14420,1148,33879,1914,8.85,22.92,3935.9842,767,136728,0.5749,0.6098,164,161,314,33,9,2,0,7,119,27,209.1,119.9462,833.7073,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
