GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US06001,06001,"Alameda County, California",558907,1624,75619,613,50.4,0.3,82824,1199,13.7,0.2,42093,1199,0.6,0.1,52793,6407,24.8,0.2,95216,1781,0.7,0.1,74082,3535,5.9,0.2,56097,1901,3.9,0.2,66796,4095,16.1,0.2,57291,1466,41.5,0.2,90836,909,3.2,0.1,29868,1885,37.4,0.2,81869,1323,39.7,0.3,90312,1039,19.7,0.2,49226,1111,368905,2209,92328,975,47.3,0.5,93621,2177,52.7,0.5,91708,1094,73.2,0.5,111657,1083,18.7,0.4,44897,1549,8.0,0.3,59989,2874,190002,2107,47815,1167,54.3,0.7,42784,1370,42.5,0.7,35682,1223,11.8,0.5,75597,2611,45.7,0.7,52377,1258,32.8,0.7,42931,1844,13.0,0.5,81732,4581,26.6,(X),(X),(X),27.1,(X),(X),(X),24.0,(X),(X),(X)
0500000US06003,06003,"Alpine County, California",358,62,52917,13603,81.6,6.4,59423,8854,0.0,8.7,-,**,11.5,6.7,35625,8955,0.6,1.4,-,**,0.6,1.1,-,**,0.0,8.7,-,**,5.9,5.0,18839,1250,3.6,2.8,(X),(X),78.8,6.9,59615,8460,1.7,1.9,(X),(X),20.9,7.2,(X),(X),36.0,9.2,(X),(X),41.3,10.6,(X),(X),225,47,67188,9879,31.1,9.8,78750,31910,68.9,9.8,61563,8593,72.9,10.6,86786,22627,15.1,7.5,51250,25143,12.0,8.4,24375,12257,133,41,19938,6684,51.1,15.0,(X),(X),45.9,14.3,(X),(X),5.3,4.7,(X),(X),48.9,15.0,(X),(X),46.6,15.0,(X),(X),2.3,3.8,(X),(X),34.4,(X),(X),(X),36.9,(X),(X),(X),30.1,(X),(X),(X)
0500000US06005,06005,"Amador County, California",13925,456,54171,4208,93.4,1.1,54719,4285,0.1,0.1,(X),(X),2.7,1.1,37578,34657,0.6,0.2,107995,23808,0.1,0.1,-,**,1.6,0.9,(X),(X),1.6,0.7,50117,14183,7.0,1.2,31971,24996,89.3,1.3,54422,4204,1.0,0.5,28125,17190,18.6,1.8,51988,18262,44.1,2.0,64699,6538,36.3,1.5,44640,2519,9402,441,69812,4509,31.0,2.5,71250,17350,69.0,2.5,69640,3510,81.9,3.4,(X),(X),12.1,2.7,(X),(X),5.9,1.9,(X),(X),4523,394,24195,2379,50.5,3.9,(X),(X),45.9,4.1,(X),(X),4.6,1.6,(X),(X),49.5,3.9,(X),(X),39.6,4.0,(X),(X),10.0,3.3,(X),(X),32.0,(X),(X),(X),31.9,(X),(X),(X),30.6,(X),(X),(X)
0500000US06007,06007,"Butte County, California",85318,841,43444,1068,88.4,0.6,44755,1252,1.1,0.2,27031,13380,1.0,0.2,40987,7697,2.8,0.3,39435,3108,0.2,0.1,(X),(X),2.5,0.4,33657,6481,4.0,0.4,35702,8612,11.1,0.4,35563,2929,81.2,0.5,46005,1742,9.0,0.6,21724,2608,27.6,0.5,48822,2023,36.4,0.6,53981,2174,27.0,0.5,39945,1667,50963,883,56914,1614,39.7,1.1,52500,2913,60.3,1.1,59662,1987,71.6,1.5,69525,1993,19.4,1.2,27855,2167,9.0,0.8,39199,2753,34355,971,25679,1352,54.0,1.5,24722,1617,40.5,1.4,21884,1579,13.5,1.2,36638,2776,46.0,1.5,27121,2628,31.1,1.6,22003,1572,14.8,1.4,39759,3397,28.1,(X),(X),(X),27.0,(X),(X),(X),27.8,(X),(X),(X)
0500000US06009,06009,"Calaveras County, California",18060,399,53233,3774,94.9,1.1,55242,4035,0.3,0.4,-,**,0.8,0.4,(X),(X),0.7,0.4,(X),(X),0.3,0.3,-,**,0.7,0.4,(X),(X),2.3,0.7,42213,7918,6.6,1.0,54750,8183,89.0,1.2,55175,4598,1.3,0.5,50938,17425,17.3,1.4,57299,3999,42.7,1.7,64970,5737,38.7,1.5,39984,4315,12144,486,68632,5074,28.7,2.2,64343,8248,71.3,2.2,70216,5968,81.6,2.7,77976,3667,11.8,2.3,36034,5483,6.7,1.6,44213,8806,5916,473,26912,3128,47.9,3.6,(X),(X),39.3,3.2,(X),(X),8.6,2.6,(X),(X),52.1,3.6,(X),(X),42.9,4.2,(X),(X),9.2,2.8,(X),(X),33.3,(X),(X),(X),35.2,(X),(X),(X),28.5,(X),(X),(X)
0500000US06011,06011,"Colusa County, California",6966,166,52168,2583,87.0,2.2,54123,2831,1.3,0.8,(X),(X),1.5,0.6,55208,10349,2.1,0.8,(X),(X),0.6,0.5,(X),(X),6.3,2.0,34531,17417,1.2,0.5,58929,27851,44.2,1.9,45092,3112,49.8,2.0,61815,2981,3.2,1.1,30972,17731,34.7,2.2,50972,5440,38.1,2.0,61486,2788,24.0,1.7,43056,4085,5375,211,56491,3000,47.7,3.2,48581,5412,52.3,3.2,62000,3445,74.6,3.9,62781,2518,13.8,2.7,26702,13179,11.6,2.6,36250,13915,1591,172,31821,2330,45.3,6.1,33354,7079,40.6,5.6,32024,3088,4.7,3.1,44741,12793,54.7,6.1,30783,3430,44.8,6.0,29500,7176,10.0,5.1,31589,8936,25.1,(X),(X),(X),25.6,(X),(X),(X),21.8,(X),(X),(X)
0500000US06013,06013,"Contra Costa County, California",384646,1380,80185,827,66.3,0.3,85459,1255,9.1,0.2,50343,2451,0.5,0.1,56250,10274,14.1,0.2,100536,2540,0.4,0.1,66929,19249,5.8,0.3,54177,2498,3.8,0.2,72485,6070,18.1,0.3,58299,2162,55.1,0.3,92941,1443,2.3,0.2,35044,3184,31.9,0.3,83390,1797,42.9,0.3,98609,1571,22.9,0.2,55522,1296,273149,1921,95824,1024,46.8,0.6,95874,2004,53.2,0.6,95788,1462,75.8,0.6,112689,1649,17.3,0.5,48155,2117,6.9,0.4,58779,4225,111497,1658,48597,1497,56.6,0.9,42627,1898,46.8,1.0,37946,1870,9.8,0.6,79423,5317,43.4,0.9,56159,2674,32.3,1.0,48441,2366,11.1,0.8,81872,4270,31.0,(X),(X),(X),31.4,(X),(X),(X),27.3,(X),(X),(X)
0500000US06015,06015,"Del Norte County, California",9420,344,40847,4369,85.2,2.0,42245,4895,0.6,0.5,9141,1735,6.0,1.3,50689,8456,1.9,1.1,(X),(X),0.3,0.3,18833,11151,1.1,0.6,(X),(X),5.0,1.3,26042,11898,8.0,1.4,24340,13658,79.0,2.2,43643,5629,2.6,1.2,(X),(X),24.5,2.2,(X),(X),42.3,2.2,(X),(X),30.6,1.9,(X),(X),5840,340,52427,3424,42.9,3.4,47650,10372,57.1,3.4,57779,6026,67.8,4.2,66622,8992,23.6,4.2,29769,6829,8.6,2.3,41989,13472,3580,376,20954,4471,52.8,4.7,19397,2587,45.7,4.4,18669,1978,7.1,3.3,30417,16429,47.2,4.7,26386,8866,40.4,5.0,19028,8702,6.9,2.8,52027,15988,31.4,(X),(X),(X),30.9,(X),(X),(X),30.4,(X),(X),(X)
0500000US06017,06017,"El Dorado County, California",67086,889,69584,1835,90.8,0.6,70097,1886,0.6,0.2,98140,5414,0.9,0.3,48958,19257,2.9,0.3,116625,39421,0.2,0.2,(X),(X),2.3,0.4,35904,7094,2.3,0.3,59144,9690,8.5,0.5,47863,5087,85.2,0.5,70882,1965,1.6,0.4,32614,11581,23.4,0.8,73450,4863,47.1,0.9,83632,4614,27.9,0.7,50190,2877,47274,883,86967,2987,38.0,1.2,88203,5949,62.0,1.2,86149,4624,83.6,1.1,96651,3164,12.2,1.1,42115,4033,4.2,0.6,51367,11947,19812,704,35366,2266,52.1,1.9,35172,2977,43.0,1.8,29774,2358,9.1,1.3,60041,9188,47.9,1.9,35689,3741,36.9,2.2,30880,3091,11.0,1.6,57760,8405,28.6,(X),(X),(X),29.6,(X),(X),(X),25.5,(X),(X),(X)
